Art.-Nr.;Bezeichnung;ME;Preis;VPE;Währung;Hersteller;UNSPSC
ACME-4471;Sechskantschraube M8x40 verzinkt DIN 933;ST;42,00;100;USD;Acme Fastener Werk;31161616
ACME-4472;Sechskantmutter M8 verzinkt DIN 934;Stk;18,50;100;USD;Acme Fastener Werk;31161716
ACME-5100;Unterlegscheibe M8 DIN 125 Edelstahl A2;pcs;9,75;100;USD;Acme Fastener Werk;31161807
ACME-6200;Industriereiniger Konzentrat 5 Liter Kanister für Werkstattböden und Maschinen;EA;24,90;1;USD;CleanTech GmbH;47131805
ACME-7010;Schutzbrille klar beschlagfrei EN 166;each;6,20;1;USD;SafetyFirst;46181802
ACME-7011;Arbeitshandschuhe Nitril Gr. 9;PAAR;3,80;1;USD;SafetyFirst;46181504
ACME-8300;Kabelbinder 200x4,8mm schwarz;PK;12,40;1;USD;ElektroPlus;39131709
ACME-9001;Bohrer HSS-G 8,5mm DIN 338;karton;54,00;10;USD;ToolMaster;27112807
;Fehlerhafte Zeile ohne Artikelnummer;ST;10,00;1;USD;Unbekannt;
ACME-9500;Spezialfett Hochtemperatur Kartusche;KRT;15,30;1;USD;LubriCorp;15121902
